model,feature,importance_mean,importance_std
Logistic Regression,Area,0.4505427096938873,0.007346804173472059
Logistic Regression,AspectRatio,0.3531530133078617,0.006268047974191648
Logistic Regression,Eccentricity,0.148508063901105,0.007705089142650546
Logistic Regression,Compactness,0.12574420725836571,0.007193431399808961
Logistic Regression,Roundness,0.09541078338769197,0.004029139249546343
Logistic Regression,ShapeFactor1,0.3902387466586481,0.006973044482656958
Logistic Regression,ShapeFactor2,0.36250392931038256,0.0049000330294871434
Logistic Regression,ShapeFactor4,0.055762736110510816,0.0038768273978239533
Random Forest,Area,0.07876325416942227,0.005000547874258057
Random Forest,AspectRatio,0.0036237991592545315,0.0019788648512403
Random Forest,Eccentricity,0.0022550888078656573,0.0015301177115255391
Random Forest,Compactness,0.05547710612921684,0.004394782063303406
Random Forest,Roundness,0.11783467970707576,0.004541541615778728
Random Forest,ShapeFactor1,0.24487466507085184,0.006040131758993629
Random Forest,ShapeFactor2,0.0334522147161811,0.0029688361770398687
Random Forest,ShapeFactor4,0.036653512264048956,0.0026567971298571613
HistGradientBoosting,Area,0.24210290422127403,0.008703216148452705
HistGradientBoosting,AspectRatio,0.007869641351668594,0.001835767866732661
HistGradientBoosting,Eccentricity,0.0,0.0
HistGradientBoosting,Compactness,0.09046948759042418,0.0030144431667525947
HistGradientBoosting,Roundness,0.10758477546472844,0.004765584038825074
HistGradientBoosting,ShapeFactor1,0.3261520554477128,0.0072822161950767406
HistGradientBoosting,ShapeFactor2,0.03508994130397473,0.004063411905676146
HistGradientBoosting,ShapeFactor4,0.05159288407891689,0.0038317295608095315
MLP Neural Network,Area,0.24823824262773253,0.00556238644495327
MLP Neural Network,AspectRatio,0.15125370562652143,0.003594740553937444
MLP Neural Network,Eccentricity,0.049958775716385725,0.004406874161947302
MLP Neural Network,Compactness,0.051151542457467225,0.0031691674137854543
MLP Neural Network,Roundness,0.12251107178524723,0.0033519509550616338
MLP Neural Network,ShapeFactor1,0.20679651127156493,0.006993471666899285
MLP Neural Network,ShapeFactor2,0.10084598979682909,0.0051981151882544005
MLP Neural Network,ShapeFactor4,0.060070396842622574,0.003726568493714377
